TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
2,300,nan,nan,nan,nan,5.0022
2,300,nan,nan,nan,nan,5.016
2,300,nan,nan,nan,nan,5.0299
2,300,nan,nan,nan,nan,5.0437
2,300,nan,nan,nan,nan,5.0576
2,300,nan,nan,nan,nan,5.0714
2,300,nan,nan,nan,nan,5.0853
2,300,nan,nan,nan,nan,5.0992
2,300,nan,nan,nan,nan,5.113
2,300,nan,nan,nan,nan,5.1269
2,300,nan,nan,nan,nan,5.1407
2,300,nan,nan,nan,nan,5.1546
2,300,nan,nan,nan,nan,5.1684
2,300,nan,nan,nan,nan,5.1823
2,300,nan,nan,nan,nan,5.1962
2,300,nan,nan,nan,nan,5.21
2,300,nan,nan,nan,nan,5.2239
2,300,nan,nan,nan,nan,5.2377
2,300,nan,nan,nan,nan,5.2516
2,300,nan,nan,nan,nan,5.2654
2,300,nan,nan,nan,nan,5.2793
2,300,nan,nan,nan,nan,5.2931
2,300,nan,nan,nan,nan,5.307
2,300,nan,nan,nan,nan,5.3209
2,300,nan,nan,nan,nan,5.3347
2,300,nan,nan,nan,nan,5.3486
2,300,nan,nan,nan,nan,5.3624
2,300,nan,nan,nan,nan,5.3763
2,300,nan,nan,nan,nan,5.3901
2,300,nan,nan,nan,nan,5.404
2,300,nan,nan,nan,nan,5.4179
2,300,nan,nan,nan,nan,5.4317
2,300,nan,nan,nan,nan,5.4456
2,300,nan,nan,nan,nan,5.4594
2,300,nan,nan,nan,nan,5.4733
2,300,nan,nan,nan,nan,5.4871
2,300,nan,nan,nan,nan,5.501
2,300,nan,nan,nan,nan,5.5148
2,300,nan,nan,nan,nan,5.5287
2,300,nan,nan,nan,nan,5.5426
2,300,nan,nan,nan,nan,5.5564
2,300,nan,nan,nan,nan,5.5703
2,300,nan,nan,nan,nan,5.5841
2,300,nan,nan,nan,nan,5.598
2,300,nan,nan,nan,nan,5.6118
2,300,nan,nan,nan,nan,5.6257
2,300,nan,nan,nan,nan,5.6396
2,300,nan,nan,nan,nan,5.6534
2,300,nan,nan,nan,nan,5.6673
2,300,nan,nan,nan,nan,5.6811
2,300,nan,nan,nan,nan,5.695
2,300,nan,nan,nan,nan,5.7088
2,300,nan,nan,nan,nan,5.7227
2,300,nan,nan,nan,nan,5.7366
2,300,nan,nan,nan,nan,5.7504
2,300,nan,nan,nan,nan,5.7643
2,300,nan,nan,nan,nan,5.7781
2,300,nan,nan,nan,nan,5.792
2,300,nan,nan,nan,nan,5.8058
2,300,nan,nan,nan,nan,5.8197
2,300,nan,nan,nan,nan,5.8335
2,300,nan,nan,nan,nan,5.8474
2,300,nan,nan,nan,nan,5.8613
2,300,nan,nan,nan,nan,5.8751
2,300,nan,nan,nan,nan,5.889
2,300,nan,nan,nan,nan,5.9028
2,300,nan,nan,nan,nan,5.9167
2,300,nan,nan,nan,nan,5.9305
2,300,nan,nan,nan,nan,5.9444
2,300,nan,nan,nan,nan,5.9583
2,300,nan,nan,nan,nan,5.9721
2,300,nan,nan,nan,nan,5.986
2,300,nan,nan,nan,nan,5.9998
2,300,nan,nan,nan,nan,6.0137
2,300,nan,nan,nan,nan,6.0275
2,300,nan,nan,nan,nan,6.0414
2,300,nan,nan,nan,nan,6.0552
2,300,nan,nan,nan,nan,6.0691
2,300,nan,nan,nan,nan,6.083
2,300,nan,nan,nan,nan,6.0968
2,300,nan,nan,nan,nan,6.1107
2,300,nan,nan,nan,nan,6.1245
2,300,nan,nan,nan,nan,6.1384
2,300,nan,nan,nan,nan,6.1522
2,300,nan,nan,nan,nan,6.1661
2,300,nan,nan,nan,nan,6.18
2,300,nan,nan,nan,nan,6.1938
2,300,nan,nan,nan,nan,6.2077
2,300,nan,nan,nan,nan,6.2215
2,300,nan,nan,nan,nan,6.2354
2,300,nan,nan,nan,nan,6.2492
2,300,nan,nan,nan,nan,6.2631
2,300,nan,nan,nan,nan,6.277
2,300,nan,nan,nan,nan,6.2908
2,300,nan,nan,nan,nan,6.3047
2,300,nan,nan,nan,nan,6.3185
2,300,nan,nan,nan,nan,6.3324
2,300,nan,nan,nan,nan,6.3462
2,300,nan,nan,nan,nan,6.3601
2,300,nan,nan,nan,nan,6.3739
2,300,nan,nan,nan,nan,6.3878
2,300,nan,nan,nan,nan,6.4017
2,300,nan,nan,nan,nan,6.4155
2,300,nan,nan,nan,nan,6.4294
2,300,nan,nan,nan,nan,6.4432
2,300,nan,nan,nan,nan,6.4571
2,300,nan,nan,nan,nan,6.4709
2,300,nan,nan,nan,nan,6.4848
2,300,nan,nan,nan,nan,6.4987
2,300,nan,nan,nan,nan,6.5125
